date,TB3MS,DGS10,AAA,BAA,GS10,T10Y2Y,CPIAUCSL,PCEPILFE,VIXCLS,PAYEMS,UNRATE,GDPC1,INDPRO,NCBEILQ027S,DGS3MO,csp
1/03/2000,5.69,6.26,7.68,8.37,6.26,-0.27,171,74.568,22.72,131604,4,13878.147,91.7389,16263078,5.86,0.6899999999999995
1/04/2000,5.66,5.99,7.64,8.4,5.99,-0.41,170.9,74.617,27.16,131883,3.8,14130.908,92.8675,15616866,5.82,0.7600000000000007
1/05/2000,5.79,6.44,7.99,8.9,6.44,-0.37,171.2,74.697,26.37,132105,4,14130.908,92.8675,15616866,5.99,0.9100000000000001
1/06/2000,5.69,6.1,7.67,8.48,6.1,-0.38,172.2,74.754,21.54,132062,4,14130.908,92.8675,15616866,5.86,0.8100000000000005
1/07/2000,5.96,6.05,7.65,8.35,6.05,-0.29,172.7,74.925,19.89,132228,4,14145.312,92.8037,15260797,6.14,0.6999999999999993
1/08/2000,6.09,5.83,7.55,8.26,5.83,-0.4,172.7,75.021,18.09,132234,4.1,14145.312,92.8037,15260797,6.28,0.71
1/09/2000,6,5.8,7.62,8.35,5.8,-0.28,173.6,75.203,19.69,132338,3.9,14145.312,92.8037,15260797,6.18,0.7299999999999995
1/10/2000,6.11,5.74,7.55,8.34,5.74,-0.17,173.9,75.308,25.2,132352,3.9,14229.765,92.5487,13360774,6.29,0.79
1/11/2000,6.17,5.72,7.45,8.28,5.72,-0.16,174.2,75.441,26.38,132556,3.9,14229.765,92.5487,13360774,6.36,0.8299999999999992
1/12/2000,5.77,5.24,7.21,8.02,5.24,-0.11,174.6,75.515,26.53,132716,3.9,14229.765,92.5487,13360774,5.94,0.8099999999999996
1/01/2001,5.15,5.16,7.15,7.93,5.16,0.4,175.6,75.796,24.92,132703,4.2,14183.12,91.4115,11816546,5.29,0.7799999999999994
1/02/2001,4.88,5.1,7.1,7.87,5.1,0.44,176,75.93,23.41,132788,4.2,14183.12,91.4115,11816546,5.01,0.7700000000000005
1/03/2001,4.42,4.89,6.98,7.84,4.89,0.54,176.1,76.009,28.5,132751,4.3,14183.12,91.4115,11816546,4.54,0.8599999999999994
1/04/2001,3.87,5.14,7.2,8.07,5.14,0.91,176.4,76.13,28.13,132457,4.4,14271.694,90.2601,12672933,3.97,0.8700000000000001
1/05/2001,3.62,5.39,7.29,8.07,5.39,1.13,177.3,76.148,22.94,132409,4.3,14271.694,90.2601,12672933,3.7,0.7800000000000002
1/06/2001,3.49,5.28,7.18,7.97,5.28,1.2,177.7,76.318,20.94,132299,4.5,14271.694,90.2601,12672933,3.57,0.79
1/07/2001,3.51,5.24,7.13,7.97,5.24,1.2,177.4,76.515,22.32,132171,4.6,14214.516,89.0224,10624475,3.59,0.8399999999999999
1/08/2001,3.36,4.97,7.02,7.85,4.97,1.21,177.4,76.553,21.86,132021,4.9,14214.516,89.0224,10624475,3.44,0.8300000000000001
1/09/2001,2.64,4.73,7.17,8.03,4.73,1.61,178.1,76.118,35.07,131763,5,14214.516,89.0224,10624475,2.69,0.8599999999999994
1/10/2001,2.16,4.57,7.03,7.91,4.57,1.84,177.6,76.654,32.72,131452,5.3,14253.574,88.0476,11967987,2.2,0.8799999999999999
