date,MMM.Close,MMM.High,MMM.Low,MMM.Open,MMM.Volume,MMM.Ret,MMM.Vol,MMM.M18,MMM.S18,MMM.E9,MMM.M36,MMM.S36,MMM.E18,MMMBBU,MMMBBL,MMM.direction,MMM.mom1m,MMM.mom6m,MMM.mom12m,MMM.mom36m,MMM.chmom,MMM.dolvol,MMM.var,MMM.cov,MMM.beta,MMM.betasq,MMM.pricedelay,^GSPC.Close,^GSPC.High,^GSPC.Low,^GSPC.Open,^GSPC.Volume,^GSPC.Ret,^GSPC.Vol,TB3MS,DGS10,AAA,BAA,GS10,T10Y2Y,CPIAUCSL,PCEPILFE,VIXCLS,PAYEMS,UNRATE,GDPC1,INDPRO,NCBEILQ027S,DGS3MO,csp
2000-03-01,18.523574829101562,19.791595908179612,16.353557741122938,18.235982202983916,104198154,,,,,18.523574829101562,,,18.523574829101562,,,,,,,,,1930122302.6732483,,,,,,1498.5799560546875,1552.8699951171875,1346.6199951171875,1366.4200439453125,26156200000,,,5.69,6.26,7.68,8.37,6.26,-0.27,171.0,74.568,22.72,131604,4.0,13878.147,91.7389,16263078.0,5.86,0.6899999999999995
2000-04-01,18.11834144592285,20.562879138253365,17.843820108891347,18.693525101307603,82476160,-0.02211947117690794,,,,18.442528152465822,,,18.480918683503806,,,-0.40523338317871094,-0.02187662947985969,,,,,1494331228.0285645,,,,,,1452.4300537109375,1527.18994140625,1339.4000244140625,1498.5799560546875,20106460000,-0.03127991095339023,,5.66,5.99,7.64,8.4,5.99,-0.41,170.9,74.617,27.16,131883,3.8,14130.908,92.8675,15616866.0,5.82,0.7600000000000007
2000-05-01,17.935314178466797,19.09875586385802,17.41241861008483,18.131399062351388,62180994,-0.01015313629544806,,,,18.341085357666017,,,18.423486630342016,,,-0.1830272674560547,-0.010101767206580625,,,,,1115235663.3193588,,,,,,1420.5999755859375,1481.510009765625,1361.0899658203125,1452.4300537109375,19898300000,-0.02215875239575553,,5.79,6.44,7.99,8.9,6.44,-0.37,171.2,74.697,26.37,132105,4.0,14130.908,92.8675,15616866.0,5.99,0.9100000000000001
2000-06-01,17.472652435302734,18.49890784916727,16.933209526545447,18.117350388696835,72224527,-0.026134687818713358,,,,18.167398773193362,,,18.32339882033788,,,-0.4626617431640625,-0.025796132621949575,,,,,1261954057.575138,,,,,,1454.5999755859375,1488.9300537109375,1420.5999755859375,1420.5999755859375,21738300000,0.02365163155843237,,5.69,6.10,7.67,8.48,6.10,-0.38,172.2,74.754,21.54,132062,4.0,14130.908,92.8675,15616866.0,5.86,0.8100000000000005
2000-07-01,18.959409713745117,19.288338753924872,17.472655753783837,17.472655753783837,57964139,0.08166342247150517,,,,18.325800961303713,,,18.390347335433376,,,1.4867572784423828,0.08509053127151178,,,,,1098965860.0054722,,,,,,1430.8299560546875,1517.3199462890625,1413.8900146484375,1454.5999755859375,19089100000,-0.016476267193485265,,5.96,6.05,7.65,8.35,6.05,-0.29,172.7,74.925,19.89,132228,4.0,14145.312,92.8037,15260797.0,6.14,0.6999999999999993
2000-08-01,19.581083297729492,20.511949488717818,18.709424639117906,19.05150982934522,57308970,0.03226359921914762,,,,18.57685742858887,,,18.515687963043494,,,0.621673583984375,0.0327897119884315,,,,,1122171715.2770805,,,,,,1517.6800537109375,1525.2099609375,1425.4300537109375,1430.8299560546875,20363700000,0.05892822369153254,,6.09,5.83,7.55,8.26,5.83,-0.40,172.7,75.021,18.09,132234,4.1,14145.312,92.8037,15260797.0,6.28,0.71
2000-09-01,19.2993106842041,20.31854649454765,17.049047670916202,19.894967574399338,92194617,-0.01449458289141594,,,,18.721348079711916,,,18.598174565270924,,,-0.2817726135253906,-0.014390042125915659,0.04187830169173479,,,,1779292556.894205,,,,,,1436.510009765625,1530.0899658203125,1419.43994140625,1517.6800537109375,20838300000,-0.05496632087674741,,6.00,5.80,7.62,8.35,5.80,-0.28,173.6,75.203,19.69,132338,3.9,14145.312,92.8037,15260797.0,6.18,0.7299999999999995
2000-10-01,20.464153289794922,20.490626975548317,17.77707515208861,19.471391040305992,96724825,0.058605356085146186,,,,19.069909121728518,,,18.794593378378714,,,1.1648426055908203,0.060356694840101754,0.1294716655425403,,,,1979391645.728588,,,,,,1429.4000244140625,1454.8199462890625,1305.7900390625,1436.52001953125,25951400000,-0.004961774691885913,,6.11,5.74,7.55,8.34,5.74,-0.17,173.9,75.308,25.20,132352,3.9,14229.765,92.5487,13360774.0,6.29,0.79
2000-11-01,21.152450561523438,21.443660849320793,19.643453730007767,20.38471434823949,68085648,0.03308102905962176,,,,19.486417409687505,,,19.042788871341315,,,0.6882972717285156,0.03363429026265918,0.17937440911512703,,,,1440178303.269287,,,,,,1314.949951171875,1438.4599609375,1294.9000244140625,1429.4000244140625,20532300000,-0.08345618792359105,,6.17,5.72,7.45,8.28,5.72,-0.16,174.2,75.441,26.38,132556,3.9,14229.765,92.5487,13360774.0,6.36,0.8299999999999992
2000-12-01,25.67799949645996,26.19741875653158,21.149720548260266,21.149720548260266,147233342,0.19387880998567275,,,,20.724733827041998,,,19.741232095038015,,,4.525548934936523,0.21394915552567473,0.46961084423442667,,,,3780657681.738117,,,,,,1320.280029296875,1389.050048828125,1254.0699462890625,1314.949951171875,23610800000,0.004045252545684775,,5.77,5.24,7.21,8.02,5.24,-0.11,174.6,75.515,26.53,132716,3.9,14229.765,92.5487,13360774.0,5.94,0.8099999999999996
